# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9489
#@/user_id	aef07baf-fc31-4dbf-911c-c1bc15ed306d
a 	阿	c=3 d=5.54929e-06 t=9489
a ha 	啊哈	c=1 d=6.4137e-11 t=9489
a xi mo fu 	阿西莫夫	c=1 d=4.96923e-09 t=9489
ai 	愛	c=1 d=3.65484e-13 t=9489
ai ai 	愛愛	c=1 d=1.51643e-16 t=9489
ai fan ling 	愛翻領	c=1 d=3.67305e-12 t=9489
ai fu 	愛撫	c=1 d=3.72856e-12 t=9489
ai kan 	愛看	c=1 d=0.647265 t=9489
ai sai 	愛賽	c=3 d=1.93239 t=9489
ai sen 	埃森	c=2 d=0.818793 t=9489
ai sen kan dan 	埃森看淡	c=1 d=0.97531 t=9489
ai ya 	哎呀	c=2 d=0.0776922 t=9489
ai yao 	哎喲	c=1 d=0.00236968 t=9489
ai yue du 	愛閱讀	c=1 d=3.43476e-17 t=9489
an 	按	c=2 d=1.08206e-10 t=9489
an niu 	按鈕	c=2 d=0.0146986 t=9489
an pai 	安排	c=1 d=3.4153e-09 t=9489
an qing 	安慶	c=0 d=0.0010358 t=9489
an quan 	安全	c=1 d=1.9569e-16 t=9489
an zhuang 	安裝	c=3 d=9.98425e-17 t=9489
an zhuo 	安卓	c=1 d=7.58643e-16 t=9489
ao lin 	奧林	c=1 d=0.00759701 t=9489
ba 	吧	c=35 d=2.17818 t=9489
ba 	把	c=4 d=0.433874 t=9489
ba ba 	爸爸	c=1 d=0.0665368 t=9489
ba wo 	把握	c=1 d=2.51143e-10 t=9489
ba zhi 	八隻	c=1 d=4.74896e-05 t=9489
bai 	白	c=1 d=0.0387742 t=9489
bai bai 	白白	c=2 d=0.00415857 t=9489
bai du 	百度	c=6 d=0.900325 t=9489
bai nian 	百年	c=1 d=1.62191e-13 t=9489
bai se 	白色	c=1 d=7.91244e-11 t=9489
ban 	版	c=2 d=0.000575656 t=9489
ban 	班	c=3 d=1.23568e-11 t=9489
ban ding 	搬定	c=1 d=0.000728153 t=9489
ban fa 	辦法	c=1 d=0.00647375 t=9489
ban gong 	辦公	c=1 d=0.0306538 t=9489
ban gong shi 	辦公室	c=4 d=0.753664 t=9489
ban ji 	扳機	c=1 d=0.00995182 t=9489
ban jiao 	半角	c=1 d=1.00587e-10 t=9489
ban nian 	半年	c=1 d=3.19374e-14 t=9489
ban quan 	版權	c=6 d=0.0352754 t=9489
ban shi 	辦事	c=1 d=1.26315e-13 t=9489
ban sui 	伴隨	c=1 d=8.35981e-11 t=9489
ban tian 	半天	c=1 d=1.97046e-09 t=9489
bang 	邦	c=1 d=3.29896e-13 t=9489
bang ding 	綁定	c=1 d=5.47954e-12 t=9489
bang mang 	幫忙	c=2 d=0.0430669 t=9489
bang ni 	幫你	c=2 d=0.0179651 t=9489
bang wo 	幫我	c=1 d=4.81402e-18 t=9489
bang zhu 	幫助	c=2 d=0.0374406 t=9489
bao 	寶	c=1 d=0.0023344 t=9489
bao 	爆	c=1 d=2.95078e-13 t=9489
bao an 	報案	c=1 d=0.0228227 t=9489
bao bao 	寶寶	c=53 d=3.5237 t=9489
bao bao 	薄薄	c=1 d=1.54975e-07 t=9489
bao cun 	保存	c=2 d=0.0104621 t=9489
bao da zhao 	爆大招	c=1 d=1.02654e-14 t=9489
bao dan 	保單	c=1 d=0.0187793 t=9489
bao han 	包含	c=1 d=0.00398587 t=9489
bao kao 	報考	c=1 d=5.56425e-16 t=9489
bao kuo 	包括	c=3 d=0.0290329 t=9489
bao ming 	報名	c=5 d=0.900998 t=9489
bao ming biao 	報名表	c=2 d=0.165299 t=9489
bao shang 	報上	c=1 d=0.308819 t=9489
bao xian 	保險	c=2 d=0.0468852 t=9489
bao zhang 	保障	c=1 d=0.0231676 t=9489
bei 	背	c=2 d=0.00076198 t=9489
bei 	被	c=5 d=0.527292 t=9489
bei fen 	備份	c=9 d=0.664109 t=9489
bei jing 	北京	c=8 d=0.034297 t=9489
bei jing 	背景	c=5 d=4.46394e-12 t=9489
bei mian 	背面	c=8 d=0.000238958 t=9489
bei ren 	被人	c=1 d=0.0934807 t=9489
bei song 	背誦	c=1 d=3.01297e-05 t=9489
ben 	本	c=3 d=0.00134683 t=9489
ben di 	本地	c=1 d=0.113042 t=9489
ben jie 	本屆	c=1 d=1.33388e-07 t=9489
ben lai 	本來	c=1 d=0.0590129 t=9489
ben pao 	奔跑	c=1 d=1.09246e-11 t=9489
ben shen 	本身	c=1 d=1.15423e-11 t=9489
ben shu 	本書	c=0 d=4.14346e-19 t=9489
ben zhe 	奔着	c=1 d=0.138069 t=9489
bi 	幣	c=15 d=3.92558 t=9489
bi 	比	c=3 d=0.71774 t=9489
bi 	璧	c=2 d=1.08946e-08 t=9489
bi 	筆	c=3 d=5.02814e-05 t=9489
bi ji 	筆記	c=1 d=7.5996e-07 t=9489
bi jiao 	比較	c=12 d=0.0554267 t=9489
bi meng 	比夢	c=1 d=0.582748 t=9489
bi xian 	必先	c=1 d=0.000146278 t=9489
bi xu 	必須	c=8 d=0.882497 t=9489
bi yao 	必要	c=3 d=0.22313 t=9489
bi zi 	鼻子	c=0 d=6.50841e-08 t=9489
bian 	邊	c=1 d=0.00778933 t=9489
bian bu 	遍佈	c=3 d=0.436932 t=9489
bian cheng 	變成	c=3 d=0.83527 t=9489
bian de 	變得	c=2 d=0.599138 t=9489
bian hua 	變化	c=1 d=0.00582847 t=9489
bian ji 	編輯	c=2 d=2.43308e-12 t=9489
bian ji qi 	編輯器	c=1 d=1.16925e-16 t=9489
bian le 	變了	c=1 d=0.778801 t=9489
bian li 	便利	c=1 d=0.579842 t=9489
bian ma 	編碼	c=1 d=7.96861e-06 t=9489
bian shi 	便是	c=1 d=0.0225956 t=9489
biao da 	表達	c=1 d=0.272532 t=9489
biao dian 	標點	c=4 d=3.73101 t=9489
biao qing 	表情	c=1 d=3.90084e-14 t=9489
biao shi 	標識	c=1 d=5.30567e-15 t=9489
biao ti 	標題	c=3 d=2.26345e-07 t=9489
biao xian 	表現	c=2 d=7.77187e-06 t=9489
biao zhi 	標誌	c=1 d=0.0114473 t=9489
bie ren 	別人	c=4 d=0.618783 t=9489
bie zou 	別走	c=1 d=1.41002e-13 t=9489
bin 	斌	c=1 d=4.1743e-17 t=9489
bing 	並	c=3 d=5.78739e-08 t=9489
bing cheng 	秉承	c=1 d=2.44226e-05 t=9489
bing lie 	並列	c=1 d=1.42347e-07 t=9489
bing mei 	並沒	c=1 d=3.19928e-05 t=9489
bo 	博	c=1 d=5.25377e-17 t=9489
bo 	波	c=0 d=4.94698e-16 t=9489
bo fang qi 	播放器	c=2 d=7.02585e-17 t=9489
bo ke 	博客	c=16 d=0.195004 t=9489
bo ke yu 	博客於	c=1 d=1.30432e-08 t=9489
bo pu er 	波普爾	c=2 d=1.04134e-06 t=9489
bo te 	波特	c=1 d=0.0352602 t=9489
bo zhe 	波折	c=1 d=3.1289e-08 t=9489
bu 	不	c=8 d=0.209075 t=9489
bu 	補	c=1 d=0.00259284 t=9489
bu bao 	不抱	c=1 d=1.68782e-11 t=9489
bu bian 	不變	c=1 d=0.970446 t=9489
bu cha 	不差	c=1 d=8.33965e-12 t=9489
bu chao guo 	不超過	c=1 d=3.17781e-14 t=9489
bu cheng gong 	不成功	c=1 d=0.00814786 t=9489
bu chi 	不吃	c=1 d=4.01964e-14 t=9489
bu chong 	補充	c=3 d=0.0651019 t=9489
bu chu 	不出	c=1 d=0.133989 t=9489
bu cuo 	不錯	c=4 d=1.99473e-06 t=9489
bu dao 	佈道	c=1 d=1.0137e-13 t=9489
bu de 	不得	c=1 d=8.46137e-06 t=9489
bu de le 	不得了	c=2 d=2.85552e-13 t=9489
bu ding qi 	不定期	c=1 d=6.54438e-13 t=9489
bu duan 	不斷	c=3 d=6.78039e-08 t=9489
bu er 	不二	c=1 d=1.68375e-12 t=9489
bu fang 	不妨	c=5 d=0.192044 t=9489
bu fen 	部分	c=2 d=8.66274e-15 t=9489
bu gan 	不敢	c=1 d=0.292293 t=9489
bu gou 	不夠	c=2 d=0.000833397 t=9489
bu guan 	不管	c=3 d=0.00960837 t=9489
bu guo 	不過	c=9 d=0.941765 t=9489
bu han 	不含	c=2 d=7.72328e-11 t=9489
bu hao 	不好	c=1 d=0.283654 t=9489
bu hao yi si 	不好意思	c=1 d=1.10935e-15 t=9489
bu hui 	不會	c=6 d=0.913931 t=9489
bu ji de 	不記得	c=1 d=1.64273e-16 t=9489
bu jiang 	不講	c=1 d=0.360595 t=9489
bu jin 	不僅	c=2 d=6.26197e-09 t=9489
bu jin jin shi 	不僅僅是	c=1 d=0.00474815 t=9489
bu ke 	不可	c=0 d=1.67045e-08 t=9489
bu ke jiao 	不可教	c=1 d=1.67883e-07 t=9489
bu ke yi 	不可以	c=2 d=3.70404e-15 t=9489
bu ken 	不肯	c=1 d=0.00923273 t=9489
bu kun 	不困	c=1 d=0.0259911 t=9489
bu li yu 	不利於	c=1 d=4.32152e-13 t=9489
bu ming 	不明	c=0 d=5.30567e-16 t=9489
bu ming xian 	不明顯	c=1 d=5.33227e-15 t=9489
bu nan 	不難	c=2 d=1.37585e-09 t=9489
bu neng 	不能	c=9 d=1.87423 t=9489
bu niao 	不鳥	c=1 d=6.98389e-13 t=9489
bu pa 	不怕	c=3 d=0.0930145 t=9489
bu qi 	不起	c=0 d=3.68381e-18 t=9489
bu qing chu 	不清楚	c=2 d=0.392586 t=9489
bu rang 	不讓	c=1 d=0.0739031 t=9489
bu ru 	不如	c=2 d=6.2064e-13 t=9489
bu shi 	不是	c=15 d=0.935409 t=9489
bu shuo 	不說	c=1 d=0.574072 t=9489
bu ti 	不提	c=1 d=8.50378e-06 t=9489
bu ting 	不停	c=4 d=0.0200388 t=9489
